 MHD solution=           40
 xi=    4.0000000000000001E-002
 ep=   2.9999999999999999E-002
 alpha_m=   2.0000000000000000     
 alpha_v=   1.1844120000000000     
 chi_m=   1.4266669999999999     
 mu=  0.35070800000000002     
 p= Rm.ep=   1.1000001000000001     
 q=   1.7936099999999999     
 ms=   1.3028530000000000     
 delta_o=  0.99269770000000002     
  ur > 0  from i=           97      y_h=   2.8502999999999997E-002
 idealMHD from i=          122      y_id=   3.6003000000000000E-002
 super-SM from i=          288      y_SM=   4.9622999999999994E-002
 super-A  from i=         2568      y_A=  0.73479299999999992     
 super-FM from i=         3139      y_FM=   244.36866000000001     
 Total number of points N=         3139
 0.6603000D-02 0.8966714D+02 0.1000803D+01 0.3705603D+19 -.1274670D+01 0.2955099D+02 -.8090713D-02 0.4716353D+02 0.1201222D+03 -.1917069D+03 0.4767850D+03 -.8787713D+03
 0.6903000D-02 0.8964994D+02 0.1000880D+01 0.3690990D+19 -.1284717D+01 0.2954561D+02 -.8525787D-02 0.4703956D+02 0.1264713D+03 -.2007490D+03 0.4768364D+03 -.8721042D+03
 0.7203000D-02 0.8963275D+02 0.1000962D+01 0.3675583D+19 -.1295165D+01 0.2953987D+02 -.8969512D-02 0.4690867D+02 0.1329483D+03 -.2098297D+03 0.4768910D+03 -.8652866D+03
 0.7503000D-02 0.8961555D+02 0.1001048D+01 0.3659363D+19 -.1306000D+01 0.2953375D+02 -.9422119D-02 0.4677066D+02 0.1395609D+03 -.2189492D+03 0.4769490D+03 -.8583388D+03
 0.7803000D-02 0.8959835D+02 0.1001138D+01 0.3642306D+19 -.1317204D+01 0.2952724D+02 -.9883809D-02 0.4662533D+02 0.1463167D+03 -.2281076D+03 0.4770106D+03 -.8512821D+03
 0.8103000D-02 0.8958116D+02 0.1001233D+01 0.3624390D+19 -.1328759D+01 0.2952032D+02 -.1035473D-01 0.4647242D+02 0.1532236D+03 -.2373045D+03 0.4770759D+03 -.8441385D+03
 0.8403000D-02 0.8956396D+02 0.1001332D+01 0.3605588D+19 -.1340640D+01 0.2951297D+02 -.1083499D-01 0.4631169D+02 0.1602899D+03 -.2465392D+03 0.4771450D+03 -.8369327D+03
 0.8703000D-02 0.8954676D+02 0.1001435D+01 0.3585876D+19 -.1352819D+01 0.2950516D+02 -.1132461D-01 0.4614287D+02 0.1675239D+03 -.2558108D+03 0.4772182D+03 -.8296890D+03
 0.9003000D-02 0.8952957D+02 0.1001544D+01 0.3565225D+19 -.1365265D+01 0.2949687D+02 -.1182354D-01 0.4596567D+02 0.1749344D+03 -.2651179D+03 0.4772956D+03 -.8224348D+03
 0.9303000D-02 0.8951237D+02 0.1001656D+01 0.3543604D+19 -.1377939D+01 0.2948809D+02 -.1233167D-01 0.4577978D+02 0.1825302D+03 -.2744587D+03 0.4773775D+03 -.8151986D+03
